Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
2565-JSLRY,0,1,0,0,1,24.05,24.05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
2607-DHDAK,1,72,0,1,1,19.8,1425.6000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1073-XXCZD,0,55,0,1,0,25.7,1413.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0743-HRVFF,1,51,1,2,1,56.15,2863.65,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4006-HKYHO,0,63,1,1,1,86.7,5462.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3727-JEZTU,0,1,0,0,0,20.4,20.4,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8143-ETQTI,1,23,0,1,1,19.65,451.95,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6689-KXGBO,0,1,1,0,0,50.55,50.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9667-TKTVZ,0,2,1,0,1,54.35,108.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3657-COGMW,0,52,2,0,0,108.1,5621.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8570-KLJYJ,0,36,1,2,0,54.45,1960.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7754-IXRMC,0,1,1,0,0,45.35,45.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9473-CBZOP,0,28,1,2,0,59.0,1652.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2969-WGHQO,1,7,1,2,0,69.45,486.15000000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6615-NGGZJ,0,14,2,0,1,100.55,1407.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4334-HOWRP,0,72,1,1,1,64.95,4676.400000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4255-DDUOU,1,1,0,0,1,20.5,20.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
5863-OOKCL,0,10,0,0,0,18.85,188.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1686-STUHN,0,42,0,2,0,19.8,831.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1329-VHWNP,0,7,1,0,0,25.05,175.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2984-MIIZL,0,4,2,0,1,74.8,299.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0266-GMEAO,1,72,2,1,1,114.3,8229.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5590-YRFJT,0,20,1,0,1,24.45,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5574-NXZIU,0,63,2,1,0,109.2,6879.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0019-GFNTW,0,56,1,1,0,45.05,2522.7999999999997,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4256-ZWTZI,1,5,1,0,1,51.0,255.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8309-PPCED,0,72,2,1,1,110.45,7952.400000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4098-NAUKP,1,68,2,0,1,84.65,5756.200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5196-WPYOW,1,67,1,2,0,60.05,4023.35,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4608-LCIMN,1,8,1,0,0,44.65,357.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1485-YDHMM,1,52,2,0,1,93.25,4849.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4054-CUMIA,1,18,0,0,1,20.25,364.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0603-TPMIB,1,59,0,1,0,25.45,1501.55,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2525-GVKQU,0,60,0,1,0,20.6,1236.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8161-QYMTT,0,7,2,0,1,94.1,658.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9581-GVBXT,1,59,1,2,0,34.8,2053.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5862-BRIXZ,0,46,1,1,1,60.75,2794.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5404-GGUKR,0,5,1,0,1,51.35,256.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3308-JSGML,0,59,1,1,1,64.05,3778.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2126-GSEGL,0,70,1,1,1,84.8,5936.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3677-TNKIO,0,14,2,0,1,71.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0440-QEXBZ,0,44,1,0,1,50.15,2206.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2434-EEVDB,0,64,2,1,1,94.6,6054.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6762-QVYJO,1,58,1,1,0,59.75,3465.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6199-IWKGC,0,46,2,2,0,100.25,4611.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2675-DHUTR,0,58,2,0,1,98.9,5736.200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8152-VETUR,0,72,2,1,1,97.7,7034.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9667-EQRXU,0,30,1,0,1,40.3,1209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7446-YPODE,0,11,1,0,0,60.25,662.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9522-BNTHX,0,34,1,0,1,56.25,1912.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4676-WLUHT,0,54,1,1,0,46.2,2494.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3329-WDIOK,0,3,1,0,1,50.6,151.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7980-MHFLQ,1,72,0,1,0,24.9,1792.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2873-ZLIWT,1,40,2,0,1,84.85,3394.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
3415-TAILE,1,2,1,0,0,65.7,131.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0757-WCUUZ,1,54,1,1,0,63.35,3420.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1629-DQQVB,0,14,1,0,0,50.1,701.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1915-IOFGU,0,1,2,0,0,70.5,70.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3045-XETSH,0,10,2,0,1,94.85,948.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0374-AACSZ,0,1,1,0,0,50.15,50.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7239-HZZCX,0,1,0,0,0,19.75,19.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
4872-VXRIL,0,56,1,2,1,64.65,3620.4000000000005,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9140-CZQZZ,0,68,1,1,1,79.6,5412.799999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3423-HHXAO,1,14,0,2,1,19.5,273.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9938-TKDGL,1,68,2,1,1,99.55,6769.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0531-ZZJWQ,0,55,2,0,1,74.0,4070.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6537-QLGEX,0,16,1,0,1,38.9,622.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2688-BHGOG,0,9,2,0,1,79.55,715.9499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7683-CBDKJ,1,14,1,0,1,65.45,916.3000000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0946-CLJTI,0,58,2,0,1,98.7,5724.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3160-TYXLT,0,53,1,0,1,46.3,2453.8999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1325-USMEC,0,70,2,1,1,99.35,6954.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0916-QOFDP,1,14,2,0,1,95.8,1341.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0628-CNQRM,1,22,1,2,1,67.5,1485.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5606-AMZBO,0,10,2,0,1,78.15,781.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6199-IPCAO,1,29,0,1,0,26.1,756.9000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7665-TOALD,0,1,2,0,1,69.6,69.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0112-QWPNC,0,49,1,2,0,84.35,4133.15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
0324-BRPCJ,0,68,2,0,1,100.2,6813.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2777-PHDEI,0,1,2,0,0,78.05,78.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5640-CAXOA,0,30,1,2,1,40.35,1210.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2235-EZAIK,0,72,1,1,0,79.2,5702.400000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3847-BAERP,0,10,0,0,1,20.9,209.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1196-AMORA,0,7,2,0,0,73.6,515.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4282-YMKNA,0,9,2,0,1,74.75,672.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1453-RZFON,1,1,1,0,0,49.9,49.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8263-OKETD,0,20,1,0,1,68.9,1378.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0670-KDOMA,0,1,0,0,1,20.25,20.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2476-YGEFM,0,29,2,0,1,76.0,2204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8687-BAFGU,0,1,2,0,0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0641-EVBOJ,0,3,2,0,1,82.3,246.89999999999998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0829-XXPLX,0,20,2,0,1,89.4,1788.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9974-JFBHQ,1,64,2,0,1,99.15,6345.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5356-RHIPP,0,1,0,0,1,20.2,20.2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
6624-JDRDS,0,6,1,0,0,29.45,176.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0608-JDVEC,0,50,0,1,0,19.8,990.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9780-FKVVF,0,6,1,0,1,59.15,354.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1919-RTPQD,1,7,1,0,0,44.75,313.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5214-NLTIT,1,72,2,1,1,90.8,6537.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3345-PBBFH,0,8,1,0,1,49.55,396.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5055-BRMNE,1,67,2,1,0,106.7,7148.900000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9189-JWSHV,0,24,2,0,1,93.55,2245.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2190-PHBHR,0,72,2,1,1,94.45,6800.400000000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2650-GYRYL,1,33,0,2,1,19.45,641.85,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
0746-JTRFU,0,2,1,0,1,25.05,50.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5208-FVQKB,0,70,1,1,0,67.95,4756.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7184-LRUUR,0,22,1,2,0,65.25,1435.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6627-CFOSN,0,59,2,0,1,99.45,5867.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3982-JGSFD,0,36,0,2,1,20.35,732.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1574-DYCWE,1,51,0,1,0,19.95,1017.4499999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7247-XOZPB,0,53,1,2,0,77.4,4102.200000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2466-FCCPT,1,20,0,2,0,19.7,394.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6211-WWLTF,0,63,2,1,0,99.7,6281.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4826-TZEVA,0,40,2,0,0,74.8,2992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6016-NXBNJ,0,35,0,2,1,19.15,670.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9138-EFSMO,1,26,2,2,0,78.95,2052.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0576-WNXXC,0,27,2,0,1,95.55,2579.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4632-XJMEX,1,53,1,2,0,62.85,3331.05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8910-LEDAG,0,34,2,0,0,71.55,2432.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3452-GWUIN,0,19,2,0,1,94.95,1804.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2716-GFZOR,0,43,2,0,1,86.1,3702.2999999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3724-UCSHY,1,6,0,0,0,19.55,117.30000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
8626-XHBIE,1,56,0,1,1,24.8,1388.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4628-CTTLA,0,57,1,0,1,39.3,2240.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3192-LNKRK,1,34,2,0,1,84.05,2857.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4439-YRNVD,0,10,1,0,0,36.25,362.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2876-VBBBL,0,1,0,0,1,20.25,20.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
6834-NXDCA,0,13,1,0,1,23.9,310.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2208-UGTGR,0,56,2,0,0,98.6,5521.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3005-TYFRD,0,55,2,0,1,103.65,5700.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8670-MEFCP,1,36,1,1,1,92.9,3344.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3079-BCHLN,0,47,0,2,0,19.9,935.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7777-UNYHB,1,12,0,0,1,20.1,241.20000000000002,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5597-GLBUC,0,1,2,0,1,85.45,85.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7278-CKDNC,0,24,2,0,1,80.5,1932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2748-MYRVK,0,63,2,2,0,99.9,6293.700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8450-UYIBU,0,35,1,0,1,39.85,1394.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2969-VAPYH,0,67,1,2,0,60.5,4053.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4822-YCXMX,0,25,2,0,1,84.8,2120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7181-OQCUT,0,21,2,0,0,103.85,2180.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8474-UMLNT,0,13,1,0,0,67.8,881.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9821-POOTN,0,35,2,0,1,75.2,2632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3836-FZSDJ,0,71,0,1,0,24.85,1764.3500000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
9142-XMYJH,0,29,0,0,0,19.35,561.1500000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6559-ILWKJ,0,71,1,1,0,49.35,3503.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0187-QSXOE,0,7,2,0,1,89.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7733-UDMTP,0,57,1,0,1,55.0,3135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2649-HWLYB,0,65,1,1,0,76.15,4949.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5214-CHIWJ,0,27,0,2,0,20.3,548.1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4229-CZMLL,0,6,2,0,1,74.9,449.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6904-JLBGY,0,72,2,1,1,117.35,8449.199999999999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2465-BLLEU,0,1,0,0,1,19.75,19.75,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1685-VAYJF,0,11,1,0,0,45.2,497.20000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8874-EJNSR,1,39,0,1,0,25.2,982.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6917-YACBP,0,59,2,0,1,89.75,5295.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5049-MUBWG,0,26,1,2,0,75.0,1950.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4223-WOZCM,0,2,1,0,0,49.95,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0769-MURVM,1,72,1,1,0,65.7,4730.400000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9253-VIFJQ,0,65,1,2,0,67.05,4358.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7030-FZTFM,1,72,2,1,0,110.9,7984.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9741-YLNTD,0,6,2,0,1,87.95,527.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5917-RYRMG,0,32,0,2,0,19.8,633.6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5120-ZBLAI,0,50,1,2,0,75.7,3785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1194-BHJYC,0,61,1,1,1,62.15,3791.15,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3663-MITLP,0,15,2,0,1,101.25,1518.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0906-QVPMS,0,72,2,1,0,115.15,8290.800000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9025-ZRPVR,0,9,0,0,1,18.95,170.54999999999998,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1
1905-OEILC,0,1,0,0,0,19.5,19.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7858-GTZSP,0,12,2,0,1,86.55,1038.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3285-UCQVC,0,37,1,0,0,28.6,1058.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6248-BSHKG,1,61,0,2,0,20.4,1244.3999999999999,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4685-TFLLS,1,18,0,2,0,19.8,356.40000000000003,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3470-BTGQO,1,21,1,0,0,45.65,958.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1209-VFFOC,1,68,1,1,1,56.4,3835.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8224-DWCKX,0,12,2,0,1,73.3,879.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5482-PLVPE,0,2,1,0,0,24.35,48.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4553-DVPZG,0,62,2,0,1,101.35,6283.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4902-OHLSK,0,29,2,0,0,98.65,2860.8500000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
6917-IAYHD,1,1,1,0,0,33.6,33.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0495-ZBNGW,0,5,2,0,1,79.9,399.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8620-RJPZN,0,1,0,0,0,20.7,20.7,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7572-KPVKK,1,62,2,1,1,104.05,6451.099999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2642-MAWLJ,1,36,0,1,0,20.25,729.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2357-COQEK,0,28,2,0,1,103.3,2892.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
7103-ZGVNT,1,69,1,2,0,73.7,5085.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3737-GCSPV,0,11,2,0,1,96.2,1058.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
2027-WKXMW,0,63,2,0,1,108.75,6851.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7137-NAXML,0,23,0,2,0,20.15,463.45,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2428-ZMCTB,0,10,0,0,0,19.75,197.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
2961-VNFKL,0,71,0,1,1,25.95,1842.45,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
1768-HNVGJ,0,45,1,0,1,70.05,3152.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6963-KQYQB,1,70,0,1,0,24.05,1683.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5934-RMPOV,1,22,2,0,1,84.75,1864.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1207-BLKSA,1,52,0,1,0,23.05,1198.6000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4088-YLDSU,0,55,2,2,1,104.15,5728.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
8316-BBQAY,0,65,1,1,0,59.95,3896.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1166-PQLGG,1,72,0,1,0,19.55,1407.6000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
3146-JTQHR,0,10,0,2,0,19.6,196.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4291-YZODP,1,7,0,2,0,20.05,140.35,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
4395-PZMSN,0,5,2,0,1,85.55,427.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6427-FEFIG,1,24,1,1,0,78.6,1886.3999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0017-IUDMW,1,72,2,1,1,116.8,8409.6,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8706-HRADD,0,21,1,0,1,43.55,914.55,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9955-QOPOY,0,69,1,2,1,60.8,4195.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4385-ZKVNW,1,44,1,0,1,54.9,2415.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5446-DKWYW,1,61,1,2,1,65.2,3977.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2034-CGRHZ,0,24,2,0,1,102.95,2470.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5797-APWZC,0,1,2,0,0,90.6,90.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3683-QKIUE,0,6,1,0,1,50.8,304.79999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
4228-ZGYUW,0,4,2,0,1,90.05,360.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9031-ZVQPT,0,72,2,1,1,108.2,7790.400000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2990-IAJSV,0,72,1,1,0,92.0,6624.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8107-KNCIM,0,14,2,0,1,75.1,1051.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9027-YFHQJ,0,7,0,0,1,25.05,175.35,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5176-LDKUH,0,48,2,2,0,75.15,3607.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4644-OBGFZ,1,55,0,2,0,19.5,1072.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
7926-IJOOU,0,1,0,0,0,19.3,19.3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
6480-YAGIY,0,45,2,2,0,112.2,5049.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4029-HPFVY,0,3,2,0,1,70.3,210.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7602-DBTOU,0,71,0,1,0,19.6,1391.6000000000001,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
5345-BMKWB,0,8,0,0,0,20.25,162.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
