SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
5299-SJCZT,0,0,0,3,2,0,1,2,101.55,304.65,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2018-PZKMU,0,1,1,9,2,0,0,1,103.1,927.9,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7340-KEFQE,0,1,1,51,1,1,0,2,34.2,1744.2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4570-QHXHL,0,0,0,9,1,0,1,1,43.75,393.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2403-BCASL,1,1,1,41,2,2,1,1,111.95,4589.95,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7392-YYPYJ,0,0,0,22,2,0,1,1,100.65,2214.3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2898-LSJGD,0,1,1,21,1,2,1,1,55.95,1174.95,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2223-GDSHL,0,1,1,71,2,1,1,2,116.05,8239.55,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7359-PTSXY,0,0,0,1,1,0,0,1,45.75,45.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9470-RTWDV,0,1,1,26,1,2,1,3,82.0,2132.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2176-OSJUV,0,1,0,71,1,1,0,2,65.15,4625.650000000001,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9348-YVOMK,0,0,0,4,1,0,1,3,44.8,179.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8104-OSKWT,0,0,0,12,2,0,1,1,79.8,957.5999999999999,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4521-YEEHE,0,1,0,18,2,0,1,1,88.85,1599.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
4090-KPJIP,0,0,0,3,2,0,1,1,74.95,224.85000000000002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3786-WOVKF,1,1,0,72,2,2,1,2,106.85,7693.2,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4503-BDXBD,0,0,0,11,2,0,0,1,74.95,824.45,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6086-ESGRL,0,0,0,1,2,0,0,3,80.15,80.15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2592-HODOV,0,0,0,13,0,2,0,3,19.3,250.9,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3886-CERTZ,0,1,0,72,2,2,1,1,109.25,7866.0,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7995-ZHHNZ,0,1,0,42,1,2,0,3,56.1,2356.2000000000003,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3824-RHKVR,0,0,0,17,0,0,0,3,19.7,334.9,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5816-SCGFC,1,0,0,7,1,0,1,0,51.3,359.09999999999997,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5989-AXPUC,0,1,0,68,2,1,0,0,118.6,8064.799999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4979-HPRFL,0,1,1,56,0,1,0,2,24.15,1352.3999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8590-OHDIW,0,1,1,38,0,2,0,0,20.3,771.4,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8015-IHCGW,0,1,1,72,2,1,1,1,115.5,8316.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2332-TODQS,0,0,0,48,0,2,0,3,25.05,1202.4,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9278-VZKCD,1,1,0,52,2,0,1,1,109.1,5673.2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8008-OTEZX,0,1,1,35,0,2,0,0,19.65,687.75,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2773-OVBPK,0,1,0,67,2,1,1,2,111.3,7457.099999999999,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5999-LCXAO,0,0,0,1,1,0,0,0,29.9,29.9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5206-XZZQI,0,0,0,53,2,0,1,0,80.6,4271.799999999999,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4803-LBYPN,0,1,1,34,0,0,0,0,20.8,707.2,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5759-RCVCB,0,0,0,3,1,0,0,3,35.2,105.60000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6372-RFVNS,0,1,0,1,2,0,0,1,78.8,78.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2139-FQHLM,0,0,0,19,2,0,0,0,89.95,1709.05,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
8261-GWDBQ,1,1,0,60,2,1,1,2,116.05,6963.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1093-YSWCA,0,0,0,11,0,1,0,3,19.55,215.05,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8938-UMKPI,0,0,0,47,2,0,1,1,106.4,5000.8,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0991-BRRFB,0,0,0,18,1,0,0,1,49.4,889.1999999999999,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3882-IYOIJ,0,1,1,60,2,1,0,3,115.25,6915.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8749-TZYEC,0,1,0,72,0,1,0,3,24.8,1785.6000000000001,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1755-FZQEC,0,0,0,39,0,2,0,0,19.9,776.0999999999999,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3115-JPJDD,0,1,0,59,2,2,1,3,81.25,4793.75,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5600-KTXFM,0,1,1,2,2,0,0,0,69.95,139.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3871-IKPYH,1,0,0,1,2,0,0,1,69.1,69.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6319-IEJWJ,0,1,1,20,2,0,1,1,90.2,1804.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9025-AOMKI,0,0,0,6,2,0,1,2,93.55,561.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6339-TBELP,0,0,0,71,2,1,1,3,86.4,6134.400000000001,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7964-YESJC,0,1,0,24,1,0,0,0,66.3,1591.1999999999998,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6173-GOLSU,1,1,0,67,2,0,1,3,94.65,6341.55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5275-SQEIZ,0,0,0,1,2,0,1,0,80.85,80.85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7716-YTYHG,0,1,1,48,2,2,1,0,82.05,3938.3999999999996,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9938-ZREHM,0,1,0,37,1,2,0,0,72.1,2667.7,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7950-XWOVN,0,0,0,11,1,0,0,0,34.7,381.70000000000005,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4390-KYULV,0,1,0,3,0,0,1,3,20.55,61.650000000000006,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4647-MUZON,0,1,0,18,2,0,1,3,95.95,1727.1000000000001,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9702-AIUJO,0,1,1,50,1,2,1,2,44.8,2240.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8849-PRIQJ,0,1,1,67,2,2,1,1,109.4,7329.8,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8851-RAGOV,0,1,0,25,1,0,1,0,71.05,1776.25,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1304-NECVQ,1,0,0,2,2,0,1,1,78.55,157.1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5396-IZEPB,0,0,0,9,0,0,0,3,19.7,177.29999999999998,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1729-VLAZJ,0,0,1,10,1,2,0,0,40.25,402.5,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8285-ABVLB,0,1,0,70,0,1,0,3,19.85,1389.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0701-TJSEF,0,0,0,9,1,0,1,2,68.25,614.25,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5712-VBOXD,0,0,0,4,0,0,1,3,20.15,80.6,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6629-LADHQ,0,0,0,2,1,0,0,0,50.95,101.9,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8945-GRKHX,0,0,1,1,2,0,0,1,78.65,78.65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1559-DTODC,0,0,0,19,1,0,1,2,25.15,477.84999999999997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4797-MIWUM,0,1,1,7,0,0,1,2,20.25,141.75,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6959-UWKHF,0,0,0,1,1,0,1,1,42.9,42.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8720-RQSBJ,1,0,0,1,1,0,0,1,44.0,44.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4537-CIBHB,0,1,1,9,0,2,0,0,20.25,182.25,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3815-SLMEF,0,0,0,3,1,0,0,0,34.25,102.75,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5154-VEKBL,0,0,0,9,1,0,0,0,58.5,526.5,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4324-AHJKS,0,0,0,5,1,0,0,3,55.8,279.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4355-CVPVS,0,1,1,56,2,2,0,2,88.9,4978.400000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4495-LHSSK,0,0,1,18,1,0,0,0,57.65,1037.7,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5655-JSMZM,1,0,0,49,2,0,1,1,96.2,4713.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5915-ANOEI,0,1,0,70,1,1,0,0,79.15,5540.5,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9861-PDSZP,0,0,0,72,2,1,1,3,108.05,7779.599999999999,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4505-EXZHB,1,0,0,6,2,0,0,1,74.4,446.40000000000003,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7225-CBZPL,1,1,0,17,2,0,1,1,94.8,1611.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6704-UTUKK,0,1,0,29,1,0,1,1,45.9,1331.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4587-VVTOX,0,1,0,6,2,0,1,1,105.3,631.8,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2019-HDCZY,0,1,0,63,2,1,0,1,102.6,6463.799999999999,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4652-NNHNY,0,1,0,16,2,0,1,2,73.85,1181.6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8788-DOXSU,0,0,0,59,1,2,1,2,61.35,3619.65,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7404-JLKQG,0,0,0,3,1,0,0,1,57.55,172.64999999999998,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7421-ZLUPA,0,0,0,8,1,0,1,0,29.25,234.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8972-HJWNV,1,1,0,7,2,0,1,1,84.55,591.85,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3274-NSDWE,0,0,0,68,0,1,0,3,19.6,1332.8000000000002,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2632-IVXVF,0,1,1,68,2,1,0,3,111.75,7599.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3692-JHONH,1,1,0,52,2,2,1,1,106.5,5538.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8915-NNTRC,0,1,1,72,2,1,1,3,107.7,7754.400000000001,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5914-GXMDA,0,1,0,32,0,2,0,0,19.3,617.6,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7463-IFMQU,0,1,0,72,0,1,0,2,20.05,1443.6000000000001,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2920-RNCEZ,0,1,1,1,2,0,1,3,69.95,69.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2541-YGPKE,0,1,1,42,1,2,0,3,63.7,2675.4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8515-OCTJS,0,0,0,25,0,1,0,3,24.75,618.75,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5382-TEMLV,0,0,0,45,1,0,1,2,50.9,2290.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3441-CGZJH,0,1,1,43,1,2,1,3,60.4,2597.2,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9592-ERDKV,0,1,0,37,1,2,0,0,79.25,2932.25,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2860-RANUS,1,0,0,20,2,0,1,3,85.8,1716.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5261-QSHQM,0,0,0,4,1,0,1,1,24.45,97.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4778-IZARL,0,1,0,63,2,1,1,3,110.1,6936.299999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0432-CAJZV,0,0,0,3,2,0,0,0,90.7,272.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7008-LZVOZ,0,1,1,66,0,1,1,3,25.3,1669.8,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8868-WOZGU,0,0,0,28,2,0,1,1,105.7,2959.6,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1200-TUZHR,1,0,0,8,2,0,0,1,85.2,681.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9365-CSLBQ,0,0,1,71,0,1,0,0,24.35,1728.8500000000001,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1334-FJSVR,0,0,0,1,1,0,1,1,24.25,24.25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5884-FBCTL,0,1,1,72,0,1,0,2,25.1,1807.2,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7130-CTCUS,1,1,0,16,1,0,1,2,54.55,872.8,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6242-FEGFD,0,1,0,66,2,1,0,0,96.6,6375.599999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7625-XCQRH,0,0,0,11,2,0,1,1,76.5,841.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6194-HBGQN,0,0,0,51,1,2,1,3,81.15,4138.650000000001,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
7634-WSWDB,0,0,1,8,1,0,1,1,38.5,308.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6986-IXNDM,0,0,0,14,2,0,1,1,92.9,1300.6000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1731-TVIUK,0,0,0,4,2,0,1,1,93.5,374.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2987-BJXIK,0,0,0,70,1,1,0,0,84.7,5929.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9769-TSBZE,0,0,1,70,1,1,0,1,66.0,4620.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0406-BPDVR,1,1,0,54,2,2,1,3,101.5,5481.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0618-XWMSS,0,0,1,28,2,0,1,2,74.9,2097.2000000000003,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1395-WSWXR,0,0,0,24,0,1,0,0,20.75,498.0,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6023-GSSXW,0,1,0,69,1,1,1,3,61.45,4240.05,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6752-APNJL,0,1,1,42,1,0,0,0,54.5,2289.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5276-KQWHG,1,0,0,2,2,0,1,1,69.6,139.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0420-HLGXF,1,0,0,39,2,0,1,1,99.75,3890.25,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7446-KQISO,0,1,1,45,2,1,1,2,109.75,4938.75,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9823-EALYC,0,1,1,72,1,1,1,2,80.85,5821.2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0582-AVCLN,0,0,0,38,0,1,0,0,20.3,771.4,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5803-NQJZO,0,1,0,72,1,1,1,2,67.8,4881.599999999999,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2565-JSLRY,0,0,0,1,0,0,1,0,24.05,24.05,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2607-DHDAK,0,1,1,72,0,1,1,3,19.8,1425.6000000000001,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1073-XXCZD,0,1,0,55,0,1,0,2,25.7,1413.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0743-HRVFF,0,1,1,51,1,2,1,1,56.15,2863.65,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4006-HKYHO,0,0,0,63,1,1,1,2,86.7,5462.1,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3727-JEZTU,0,0,0,1,0,0,0,0,20.4,20.4,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8143-ETQTI,0,1,1,23,0,1,1,0,19.65,451.95,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6689-KXGBO,0,0,0,1,1,0,0,1,50.55,50.55,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9667-TKTVZ,0,0,0,2,1,0,1,0,54.35,108.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3657-COGMW,1,0,0,52,2,0,0,3,108.1,5621.2,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8570-KLJYJ,0,0,0,36,1,2,0,0,54.45,1960.2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7754-IXRMC,0,0,0,1,1,0,0,0,45.35,45.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9473-CBZOP,0,0,0,28,1,2,0,0,59.0,1652.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2969-WGHQO,0,1,1,7,1,2,0,1,69.45,486.15000000000003,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6615-NGGZJ,0,0,0,14,2,0,1,1,100.55,1407.7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4334-HOWRP,1,1,0,72,1,1,1,3,64.95,4676.400000000001,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4255-DDUOU,0,1,1,1,0,0,1,0,20.5,20.5,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5863-OOKCL,0,0,0,10,0,0,0,0,18.85,188.5,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1686-STUHN,0,0,0,42,0,2,0,2,19.8,831.6,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1329-VHWNP,0,0,0,7,1,0,0,2,25.05,175.35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2984-MIIZL,0,0,0,4,2,0,1,2,74.8,299.2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0266-GMEAO,0,1,1,72,2,1,1,3,114.3,8229.6,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5590-YRFJT,0,1,0,20,1,0,1,1,24.45,489.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5574-NXZIU,0,0,0,63,2,1,0,3,109.2,6879.6,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0019-GFNTW,0,0,0,56,1,1,0,2,45.05,2522.7999999999997,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4256-ZWTZI,0,0,1,5,1,0,1,0,51.0,255.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8309-PPCED,0,1,0,72,2,1,1,2,110.45,7952.400000000001,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
4098-NAUKP,1,1,1,68,2,0,1,1,84.65,5756.200000000001,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5196-WPYOW,0,1,1,67,1,2,0,0,60.05,4023.35,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
