SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes
3806-DXQOM,0,0,0,4,1,0,1,1,33.65,134.6,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1724-BQUHA,1,0,0,5,2,0,1,1,89.5,447.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2580-ATZSQ,0,1,1,65,1,2,0,2,61.35,3987.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7945-PRBVF,0,0,0,35,0,1,0,2,21.45,750.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3898-GUYTS,1,0,0,45,2,0,1,1,97.05,4367.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2832-SCUCO,0,0,0,2,0,0,0,1,19.9,39.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9779-DPNEJ,0,1,1,22,2,0,1,1,80.15,1763.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4915-BFSXL,0,1,1,70,1,1,0,3,68.95,4826.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5018-LXQQG,0,1,1,30,1,0,0,2,66.3,1989.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1698-XFZCI,0,0,0,61,2,2,1,1,107.75,6572.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1872-EBWSC,0,0,0,29,0,2,0,0,20.35,590.1500000000001,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4446-BZKHU,0,1,0,61,2,0,1,1,105.55,6438.55,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
4607-CHPCA,0,1,1,25,2,2,1,1,90.4,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9475-NNDGC,0,1,0,71,2,2,1,2,113.15,8033.650000000001,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3841-CONLJ,0,1,0,1,1,0,0,1,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2294-DMMUS,0,1,1,62,1,0,1,3,70.45,4367.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5921-NGYRH,0,1,0,64,2,0,1,0,73.55,4707.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1897-OKVMW,0,1,1,64,1,1,1,0,90.6,5798.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5117-IFGPS,1,1,0,29,2,0,1,1,84.3,2444.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3866-MDTUB,0,0,0,2,1,0,1,1,70.75,141.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1194-SPVSP,0,0,0,1,0,0,0,2,19.65,19.65,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6905-NIQIN,0,0,0,1,1,0,0,0,50.65,50.65,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6813-GZQCG,0,1,1,45,0,1,1,3,24.65,1109.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9896-UYMIE,0,0,0,66,2,2,1,2,114.3,7543.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8849-GYOKR,0,1,0,54,2,2,0,2,106.55,5753.7,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5816-JMLGY,0,1,1,70,1,1,1,2,80.4,5628.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3990-QYKBE,1,1,0,37,2,0,1,1,92.5,3422.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6161-UUUTA,1,0,0,3,2,0,1,1,79.9,239.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0396-UKGAI,0,0,1,23,1,0,1,2,55.3,1271.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0512-FLFDW,1,1,0,60,2,2,1,3,100.5,6030.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2946-KIQSP,0,0,0,35,1,0,1,0,33.45,1170.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0187-WZNAB,0,1,1,27,2,0,0,0,74.4,2008.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6867-ACCZI,0,1,1,24,1,1,1,0,52.5,1260.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
7024-OHCCK,1,0,0,2,2,0,1,1,93.85,187.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
6481-OGDOO,0,1,0,67,2,2,1,3,90.6,6070.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7377-DMMRI,0,0,0,2,1,0,1,1,47.8,95.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1963-VAUKV,0,0,0,1,0,0,0,0,20.4,20.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5919-TMRGD,0,0,1,1,2,0,1,1,79.35,79.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6994-ORCWG,0,0,0,14,1,2,1,0,54.25,759.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5144-TVGLP,1,0,0,38,2,0,0,1,94.75,3600.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0328-GRPMV,0,0,0,1,2,0,1,1,70.1,70.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2905-KFQUV,0,1,0,2,2,0,1,3,70.4,140.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8637-XJIVR,0,0,0,12,2,0,1,1,78.95,947.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5150-LJNSR,0,1,1,31,2,2,0,2,98.05,3039.55,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
4826-DXMUP,0,0,1,35,1,2,1,0,72.1,2523.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3518-FSTWG,1,1,0,72,2,1,1,2,109.55,7887.599999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2929-ERCFZ,0,1,1,8,2,0,1,1,94.2,753.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1455-UGQVH,0,1,0,10,2,0,1,1,98.5,985.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
8485-GJCDN,1,0,0,5,2,0,1,0,69.05,345.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0459-SPZHJ,0,1,1,63,1,1,0,3,83.5,5260.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2169-RRLFW,0,1,0,71,0,1,0,3,25.6,1817.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8818-DOPVL,1,0,0,46,2,0,1,1,104.45,4804.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1207-BLKSA,0,1,1,52,0,1,0,0,23.05,1198.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7593-XFKDI,0,0,0,1,1,0,0,0,46.3,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5393-RXQSZ,0,0,0,1,2,0,0,1,79.6,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5183-KLYEM,0,0,0,72,2,1,1,3,112.75,8118.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0923-PNFUB,0,0,0,3,2,0,0,1,83.75,251.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4134-BSXLX,0,1,0,28,1,0,0,0,60.9,1705.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1452-XRSJV,0,1,1,39,1,0,0,3,51.05,1990.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4213-HKBJO,0,0,0,33,0,1,0,3,25.7,848.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7750-EYXWZ,0,0,0,12,1,2,0,1,60.65,727.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
7180-PISOG,0,1,1,1,2,0,1,1,74.5,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1356-MKYSK,0,0,0,6,1,0,0,3,78.65,471.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1212-GLHMD,0,0,0,3,2,0,1,0,86.05,258.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7228-OMTPN,0,0,0,4,2,0,1,1,88.45,353.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7682-AZNDK,0,1,1,34,2,0,1,1,89.85,3054.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6286-SUUWT,0,0,0,1,0,0,0,0,19.95,19.95,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3500-RMZLT,1,0,0,15,2,0,1,0,96.3,1444.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
4729-XKASR,0,0,1,1,1,0,0,1,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8364-TRMMK,0,0,0,3,1,0,1,0,50.65,151.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000-AJSLD,0,0,0,1,0,0,1,0,20.1,20.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4393-OBCRR,0,0,0,3,0,2,0,0,20.25,60.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0942-KOWSM,0,1,1,30,1,1,0,2,80.8,2424.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
0870-VEMYL,0,0,0,5,1,0,0,3,53.85,269.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3454-JFUBC,1,0,0,68,0,1,1,3,20.0,1360.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2592-YKDIF,0,0,0,1,0,0,0,0,20.35,20.35,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6941-PMGEP,0,0,0,5,2,0,1,1,80.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0511-JTEOY,0,0,0,1,2,0,0,0,71.1,71.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4323-ELYYB,0,1,1,13,0,2,0,0,20.0,260.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9500-LTVBP,0,0,0,35,2,0,0,3,80.05,2801.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8120-JDCAM,0,1,1,4,2,0,1,0,69.55,278.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1335-NTIUC,0,0,0,9,1,0,1,1,24.95,224.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6563-VNPMN,1,0,0,45,2,0,1,2,85.7,3856.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0668-OGMHD,0,1,0,21,1,0,0,1,28.5,598.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0311-UNPFF,0,0,0,26,2,0,1,2,88.8,2308.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9282-IZGQK,0,0,0,1,2,0,1,1,85.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4695-WJZUE,1,0,0,2,2,0,1,1,88.55,177.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5527-ACHSO,0,0,0,11,1,0,0,0,70.5,775.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
5140-FOMCQ,0,1,0,59,2,2,1,3,109.15,6439.85,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0410-IPFTY,0,1,0,31,2,0,1,2,83.85,2599.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1333-PBMXB,0,1,1,54,0,2,1,2,24.75,1336.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1915-OAKWD,0,0,1,16,0,2,1,2,19.3,308.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5707-ORNDZ,1,0,0,9,1,0,0,1,54.55,490.95,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7969-AULMZ,0,0,0,21,2,0,1,1,97.35,2044.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2700-LUEVA,0,0,0,1,0,0,0,3,20.75,20.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9099-FTUHS,0,0,0,23,1,0,0,1,54.4,1251.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8699-ASUFO,1,1,0,7,2,0,1,0,74.4,520.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7181-OQCUT,0,0,0,21,2,0,0,0,103.85,2180.85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
3096-YXENJ,0,1,0,65,2,1,1,2,107.65,6997.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2495-INZWQ,0,0,0,4,1,0,1,1,44.55,178.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2193-SFWQW,0,1,1,72,2,1,0,2,111.95,8060.400000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3908-MKIMJ,1,1,0,68,1,1,1,1,41.95,2852.6000000000004,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6736-DHUQI,0,1,1,67,2,2,0,2,84.8,5681.599999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2868-MZAGQ,0,0,0,1,2,0,1,1,79.25,79.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8905-IAZPF,0,1,0,69,2,2,1,3,95.65,6599.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1215-FIGMP,0,0,0,60,2,0,1,2,89.9,5394.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0772-GYEQQ,0,0,0,3,2,0,1,0,88.35,265.04999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
9995-HOTOH,0,1,1,63,1,1,0,1,59.0,3717.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7579-KKLOE,0,1,1,71,1,1,1,0,91.25,6478.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3594-UVONA,0,0,0,35,1,2,1,3,85.95,3008.25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
6641-XRPSU,0,0,0,34,2,0,1,3,70.0,2380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5707-ZMDJP,0,1,1,53,1,1,1,0,69.7,3694.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3307-TLCUD,0,1,0,17,1,0,0,0,34.4,584.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4797-AXPXK,0,0,1,1,1,0,1,1,60.0,60.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4869-EPIUS,0,1,0,56,2,2,1,1,80.9,4530.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8563-IIOXK,0,1,1,7,1,2,1,1,49.75,348.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2773-OVBPK,0,1,0,67,2,1,1,2,111.3,7457.099999999999,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1353-LJWEM,0,0,0,11,1,0,1,1,60.9,669.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5868-YTYKS,0,0,1,1,0,0,1,0,20.25,20.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8713-IGZSO,0,0,0,2,0,0,0,0,24.85,49.7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6050-FFXES,0,1,0,69,2,1,0,2,105.35,7269.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
9300-RENDD,0,0,0,1,2,0,1,1,79.95,79.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4183-MYFRB,0,0,0,21,2,0,1,1,90.05,1891.05,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3339-EAQNV,1,1,0,72,2,2,1,3,97.25,7002.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2545-EBUPK,1,0,0,2,2,0,1,1,84.05,168.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4990-ALDGW,0,0,0,57,0,1,0,0,20.75,1182.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0970-ETWGE,0,0,0,1,2,0,1,1,89.55,89.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3671-SHRSP,0,1,0,4,2,0,1,0,80.6,322.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2308-STERM,0,0,0,2,0,0,0,0,19.4,38.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1219-NNDDO,0,0,0,9,2,0,1,1,76.85,691.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3508-CFVZL,0,0,0,71,2,1,0,0,111.3,7902.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3387-PLKUI,0,1,1,13,0,0,0,0,18.8,244.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9702-AIUJO,0,1,1,50,1,2,1,2,44.8,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8337-UPOAQ,1,1,0,10,2,0,1,1,89.8,898.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1728-CXQBE,1,1,0,64,2,0,1,1,94.25,6032.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5134-IKDAY,0,1,1,1,2,0,1,1,69.8,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9638-JIQYA,0,0,0,2,1,0,1,3,24.9,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6647-ZEDXT,0,0,0,30,2,2,0,3,110.45,3313.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1579-KLYDT,0,0,0,7,2,0,1,1,90.45,633.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3985-HOYPM,0,0,0,26,0,2,0,0,19.4,504.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6705-LNMDD,0,0,0,20,1,0,0,0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6917-FIJHC,0,1,0,72,0,1,1,0,26.0,1872.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4640-UHDOS,0,1,1,13,1,0,0,1,55.95,727.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1414-YADCW,0,1,0,70,2,1,0,2,84.6,5922.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5960-MVTUK,0,0,0,3,1,0,1,1,29.75,89.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0637-KVDLV,0,0,0,2,2,0,1,1,76.5,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5451-YHYPW,1,1,0,72,2,1,1,3,115.75,8334.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
5813-UECBU,1,0,0,33,2,0,1,3,83.85,2767.05,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9947-OTFQU,1,0,0,15,2,0,1,1,74.4,1116.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1816-FLZDK,0,0,0,1,1,0,0,0,29.15,29.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3005-NFMTA,1,0,0,55,2,0,1,1,98.8,5434.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
4710-NKCAW,0,1,1,5,1,0,0,3,64.4,322.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4290-BSXUX,0,1,0,3,2,0,1,2,79.65,238.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6266-QHOJZ,0,0,0,65,2,2,1,1,89.85,5840.25,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6047-SUHPR,0,1,1,39,1,2,0,1,59.8,2332.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6010-DDPPW,0,1,0,70,0,1,0,2,25.15,1760.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4374-YMUSQ,0,0,0,34,2,2,0,3,116.25,3952.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1958-RNRKS,0,1,0,30,1,0,0,1,49.9,1497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7176-WIONM,0,1,0,12,1,0,1,2,49.85,598.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
9483-GCPWE,0,0,1,9,0,2,0,0,20.1,180.9,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1264-FUHCX,0,1,0,49,1,2,1,3,56.3,2758.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
8887-IPQNC,0,1,0,7,1,0,1,0,44.25,309.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2921-XWDJH,1,1,0,38,2,0,1,1,83.45,3171.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5574-NXZIU,0,0,0,63,2,1,0,3,109.2,6879.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
8644-XLFBW,1,0,0,1,2,0,1,1,71.65,71.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4811-JBUVU,0,0,0,30,2,0,1,3,89.9,2697.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8970-ANWXO,0,0,0,23,1,2,1,0,73.75,1696.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0602-DDUML,0,0,0,57,1,1,0,0,69.75,3975.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
