tenure,InternetService,Contract,TotalCharges,OnlineSecurity_No internet service,OnlineBackup_No internet service,DeviceProtection_No internet service,TechSupport_No internet service,StreamingTV_No internet service,StreamingMovies_No internet service,Churn
5294-DMSFH,29,2,0,2546.2,0.0,0.0,0.0,0.0,0.0,0.0,0
4837-PZTIC,47,1,1,1969.3,0.0,0.0,0.0,0.0,0.0,0.0,0
1625-JAIIY,68,2,2,5644.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0603-OLQDC,12,1,0,838.1999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
3272-VUHPV,8,1,0,450.4,0.0,0.0,0.0,0.0,0.0,0.0,0
4176-FXYBO,54,2,0,5915.7,0.0,0.0,0.0,0.0,0.0,0.0,0
1063-DHQJF,69,2,1,6358.35,0.0,0.0,0.0,0.0,0.0,0.0,0
8663-UPDGF,26,1,0,1807.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6719-FGEDO,72,2,1,6984.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1837-YQUCE,70,1,1,4084.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2947-DOMLJ,1,1,0,50.6,0.0,0.0,0.0,0.0,0.0,0.0,1
4112-LUEIZ,10,2,0,895.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0369-ZGOVK,28,2,2,1971.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
4510-HIMLV,1,2,0,69.8,0.0,0.0,0.0,0.0,0.0,0.0,1
9919-KNPOO,21,2,0,1980.3,0.0,0.0,0.0,0.0,0.0,0.0,0
8749-JMNKX,51,2,0,4783.8,0.0,0.0,0.0,0.0,0.0,0.0,1
7872-BAAZR,53,0,2,1036.15,1.0,1.0,1.0,1.0,1.0,1.0,0
9391-LMANN,53,2,2,5085.35,0.0,0.0,0.0,0.0,0.0,0.0,0
2430-USGXP,24,2,0,2425.2,0.0,0.0,0.0,0.0,0.0,0.0,1
8174-TBVCF,70,1,1,6636.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1698-XFZCI,61,2,2,6572.75,0.0,0.0,0.0,0.0,0.0,0.0,0
1877-HKBQX,11,1,2,600.6,0.0,0.0,0.0,0.0,0.0,0.0,0
4450-DLLMH,2,2,0,142.6,0.0,0.0,0.0,0.0,0.0,0.0,0
0428-AXXLJ,25,0,2,487.5,1.0,1.0,1.0,1.0,1.0,1.0,0
2746-DIJLO,41,1,2,2308.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
5955-ERIHD,18,2,0,1704.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
0917-EZOLA,72,2,1,7498.8,0.0,0.0,0.0,0.0,0.0,0.0,1
3508-VLHCZ,71,1,1,6429.05,0.0,0.0,0.0,0.0,0.0,0.0,0
4086-ATNFV,34,1,2,2067.2,0.0,0.0,0.0,0.0,0.0,0.0,0
0468-YRPXN,29,2,0,2865.2,0.0,0.0,0.0,0.0,0.0,0.0,0
5996-NRVXR,40,2,2,3926.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3739-YBWAB,36,1,2,1272.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
7047-FWEYA,46,2,2,4744.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
2000-MPKCA,58,2,2,6249.5,0.0,0.0,0.0,0.0,0.0,0.0,0
9762-YAQAA,39,2,2,3174.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
5949-EBSQK,4,1,0,245.8,0.0,0.0,0.0,0.0,0.0,0.0,1
5473-KHBPS,52,2,2,4976.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
0100-DUVFC,70,2,2,7336.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5397-TUPSH,65,2,2,4611.75,0.0,0.0,0.0,0.0,0.0,0.0,0
8950-MTZNV,1,1,0,44.95,0.0,0.0,0.0,0.0,0.0,0.0,0
0326-VDYXE,70,2,2,6835.5,0.0,0.0,0.0,0.0,0.0,0.0,0
6773-LQTVT,29,1,0,1033.85,0.0,0.0,0.0,0.0,0.0,0.0,0
7274-RTAPZ,1,2,0,90.55,0.0,0.0,0.0,0.0,0.0,0.0,1
0436-TWFFZ,67,1,1,5711.75,0.0,0.0,0.0,0.0,0.0,0.0,0
8566-YPRGL,1,0,0,19.5,1.0,1.0,1.0,1.0,1.0,1.0,0
0311-UNPFF,26,2,0,2308.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1
6609-MXJHJ,30,0,1,753.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2669-OIDSD,48,2,0,4802.4,0.0,0.0,0.0,0.0,0.0,0.0,0
8400-WZICQ,55,1,0,3063.5,0.0,0.0,0.0,0.0,0.0,0.0,0
3834-XUIFC,7,2,0,596.4,0.0,0.0,0.0,0.0,0.0,0.0,1
9576-SYUHJ,37,2,0,3372.55,0.0,0.0,0.0,0.0,0.0,0.0,0
0410-IPFTY,31,2,0,2599.35,0.0,0.0,0.0,0.0,0.0,0.0,0
2831-EBWRN,4,1,0,183.6,0.0,0.0,0.0,0.0,0.0,0.0,0
9430-NKQLY,72,0,1,1807.2,1.0,1.0,1.0,1.0,1.0,1.0,0
8414-MYSHR,5,2,0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0247-SLUJI,1,0,0,19.7,1.0,1.0,1.0,1.0,1.0,1.0,0
9402-ORRAH,15,2,0,1372.5,0.0,0.0,0.0,0.0,0.0,0.0,0
6483-OATDN,8,1,0,410.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1293-HHSHJ,35,0,2,738.5,1.0,1.0,1.0,1.0,1.0,1.0,0
4840-ORQXB,56,2,0,5866.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7599-FKVXZ,42,2,0,4458.3,0.0,0.0,0.0,0.0,0.0,0.0,1
3982-DQLUS,65,2,0,5573.75,0.0,0.0,0.0,0.0,0.0,0.0,0
8610-ZIKJJ,2,0,2,40.6,1.0,1.0,1.0,1.0,1.0,1.0,0
3756-VNWDH,65,2,2,6548.75,0.0,0.0,0.0,0.0,0.0,0.0,0
7801-KICAO,18,2,0,1334.7,0.0,0.0,0.0,0.0,0.0,0.0,0
7673-LPRNY,23,1,2,1806.6499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
8229-TNIQA,4,1,0,181.2,0.0,0.0,0.0,0.0,0.0,0.0,1
6060-QBMGV,70,0,1,1389.5,1.0,1.0,1.0,1.0,1.0,1.0,0
7339-POGZN,4,1,0,202.8,0.0,0.0,0.0,0.0,0.0,0.0,0
2828-SLQPF,19,1,0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4465-VDKIQ,18,2,0,1400.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
2921-XWDJH,38,2,0,3171.1,0.0,0.0,0.0,0.0,0.0,0.0,0
6221-AVQYL,2,2,0,146.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2558-BUOZZ,47,2,2,4455.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
9257-AZMTZ,52,0,1,1045.2,1.0,1.0,1.0,1.0,1.0,1.0,0
0003-MKNFE,9,1,0,539.1,0.0,0.0,0.0,0.0,0.0,0.0,0
0975-UYDTX,26,1,2,2342.6,0.0,0.0,0.0,0.0,0.0,0.0,0
7743-EXURX,8,1,0,408.4,0.0,0.0,0.0,0.0,0.0,0.0,1
4682-BLBUC,44,1,2,3121.8,0.0,0.0,0.0,0.0,0.0,0.0,0
0975-VOOVL,3,1,0,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0
5968-VXZLG,2,1,0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,0
5569-KGJHX,9,2,0,768.15,0.0,0.0,0.0,0.0,0.0,0.0,1
4988-IQIGL,1,2,0,75.35,0.0,0.0,0.0,0.0,0.0,0.0,1
5201-FRKKS,25,2,0,1857.5,0.0,0.0,0.0,0.0,0.0,0.0,0
9799-CAYJJ,2,2,0,138.6,0.0,0.0,0.0,0.0,0.0,0.0,0
7730-IUTDZ,43,2,0,3233.6,0.0,0.0,0.0,0.0,0.0,0.0,1
0426-TIRNE,1,0,0,20.9,1.0,1.0,1.0,1.0,1.0,1.0,1
5443-SCMKX,58,2,2,5469.4,0.0,0.0,0.0,0.0,0.0,0.0,0
8295-KMENE,59,1,1,4510.55,0.0,0.0,0.0,0.0,0.0,0.0,0
6738-ISCBM,44,1,2,2376.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9821-BESNZ,66,2,2,6880.5,0.0,0.0,0.0,0.0,0.0,0.0,0
3678-MNGZX,68,0,1,1356.6,1.0,1.0,1.0,1.0,1.0,1.0,0
1335-NTIUC,9,1,0,224.54999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
2916-BQZLN,19,2,0,1610.25,0.0,0.0,0.0,0.0,0.0,0.0,0
4558-CGYCZ,4,0,0,79.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2368-GAKKQ,70,2,1,7955.5,0.0,0.0,0.0,0.0,0.0,0.0,0
8710-YGLWG,1,1,0,44.9,0.0,0.0,0.0,0.0,0.0,0.0,0
3199-XGZCY,8,2,0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3785-KTYSH,53,0,1,1303.8000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0
6814-ZPWFQ,51,0,2,1275.0,1.0,1.0,1.0,1.0,1.0,1.0,0
4063-EIKNQ,11,0,0,230.45,1.0,1.0,1.0,1.0,1.0,1.0,0
6993-YCOBK,60,2,1,6636.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5206-HPJKM,17,1,0,943.5,0.0,0.0,0.0,0.0,0.0,0.0,0
7587-RZNME,3,1,0,129.89999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1
0748-RDGGM,70,2,2,7665.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8393-JMVMB,1,0,0,19.45,1.0,1.0,1.0,1.0,1.0,1.0,0
5019-GQVCR,43,2,0,3648.5499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
6036-TTFYU,16,0,0,313.6,1.0,1.0,1.0,1.0,1.0,1.0,0
2550-AEVRU,57,1,2,3046.65,0.0,0.0,0.0,0.0,0.0,0.0,0
0969-RGKCU,37,0,2,732.6,1.0,1.0,1.0,1.0,1.0,1.0,0
0378-CJKPV,72,2,1,8071.2,0.0,0.0,0.0,0.0,0.0,0.0,0
4706-AXVKM,11,2,0,932.8,0.0,0.0,0.0,0.0,0.0,0.0,1
5889-JTMUL,50,2,0,4752.5,0.0,0.0,0.0,0.0,0.0,0.0,1
9026-RNUJS,5,1,0,251.75,0.0,0.0,0.0,0.0,0.0,0.0,1
3746-EUBYR,1,2,0,74.6,0.0,0.0,0.0,0.0,0.0,0.0,1
2332-EFBJY,16,0,0,315.2,1.0,1.0,1.0,1.0,1.0,1.0,1
2880-FPNAE,2,2,0,148.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1703-MGIAB,17,1,0,1173.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4311-QTTAI,16,0,2,309.6,1.0,1.0,1.0,1.0,1.0,1.0,0
9474-PHLYD,15,1,0,891.75,0.0,0.0,0.0,0.0,0.0,0.0,1
4318-RAJVY,10,0,2,198.0,1.0,1.0,1.0,1.0,1.0,1.0,0
2165-VOEGB,46,2,2,4839.2,0.0,0.0,0.0,0.0,0.0,0.0,1
3612-YUNGG,64,2,1,6988.8,0.0,0.0,0.0,0.0,0.0,0.0,0
2254-DLXRI,1,2,0,79.15,0.0,0.0,0.0,0.0,0.0,0.0,0
5062-CJJKH,25,1,2,1341.25,0.0,0.0,0.0,0.0,0.0,0.0,0
9028-LIHRP,71,2,1,7114.2,0.0,0.0,0.0,0.0,0.0,0.0,0
2219-MVUSO,8,1,0,361.2,0.0,0.0,0.0,0.0,0.0,0.0,1
1053-MXTTK,72,2,1,7822.8,0.0,0.0,0.0,0.0,0.0,0.0,0
1530-ZTDOZ,49,1,0,1991.85,0.0,0.0,0.0,0.0,0.0,0.0,0
1301-LOPVR,29,1,2,1605.15,0.0,0.0,0.0,0.0,0.0,0.0,0
0853-TWRVK,72,2,1,7603.2,0.0,0.0,0.0,0.0,0.0,0.0,0
8914-RBTSB,31,2,0,2907.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1
6212-ATMLK,50,2,0,4785.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8200-LGKSR,71,1,1,5907.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1568-BEKZM,70,1,1,6303.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0670-ANMUU,71,2,2,6933.150000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
6897-RWMUB,61,1,1,4151.05,0.0,0.0,0.0,0.0,0.0,0.0,0
0963-ZBDRN,32,2,0,3078.4,0.0,0.0,0.0,0.0,0.0,0.0,1
7594-RQHXR,1,2,0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,1
6999-CHVCF,68,2,1,6942.799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
6134-KWTBV,62,0,1,1450.8,1.0,1.0,1.0,1.0,1.0,1.0,0
1077-HUUJM,7,2,0,497.34999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
6331-EWIEB,20,2,0,1705.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0895-LNKRC,6,0,2,116.69999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
2045-BMBTJ,33,1,0,1961.8500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
8417-GSODA,28,2,2,2581.6,0.0,0.0,0.0,0.0,0.0,0.0,0
5171-EPLKN,27,0,1,535.95,1.0,1.0,1.0,1.0,1.0,1.0,0
4452-QIIEB,7,1,0,307.3,0.0,0.0,0.0,0.0,0.0,0.0,0
5998-VVEJY,26,2,0,2093.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1624-NALOJ,5,2,0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6741-EGCBI,30,2,0,2715.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7820-ZYGNY,63,2,2,5698.35,0.0,0.0,0.0,0.0,0.0,0.0,0
4317-VTEOA,1,1,0,50.75,0.0,0.0,0.0,0.0,0.0,0.0,1
9677-AVKED,53,1,2,4483.799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
1670-SVOWZ,14,2,0,1255.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
2227-JRSJX,21,2,0,2082.15,0.0,0.0,0.0,0.0,0.0,0.0,0
9847-HNVGP,17,0,2,339.15,1.0,1.0,1.0,1.0,1.0,1.0,0
6696-YDAYZ,16,0,1,328.0,1.0,1.0,1.0,1.0,1.0,1.0,0
8980-WQFWL,35,1,0,2173.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1730-ZMAME,32,2,0,2544.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6506-EYCNH,28,0,0,547.4,1.0,1.0,1.0,1.0,1.0,1.0,0
4634-JLRJT,1,0,0,20.35,1.0,1.0,1.0,1.0,1.0,1.0,0
9501-UKKNL,59,1,0,3050.3,0.0,0.0,0.0,0.0,0.0,0.0,0
2560-QTSBS,72,0,2,1677.6000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
7541-YLXCL,36,1,2,2354.4,0.0,0.0,0.0,0.0,0.0,0.0,1
4795-WRNVT,40,1,0,2604.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6080-TCMYC,40,2,0,3248.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0260-ZDLGK,9,1,0,656.1,0.0,0.0,0.0,0.0,0.0,0.0,1
7860-UXCRM,63,1,1,4693.5,0.0,0.0,0.0,0.0,0.0,0.0,0
6357-JJPQT,3,2,0,241.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2292-XQWSV,40,1,2,2412.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9552-TGUZV,8,2,0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5913-INRQV,34,2,2,3065.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
8722-NGNBH,5,1,0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6210-KBBPI,9,2,0,895.0500000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
9643-YBLUR,9,1,0,621.4499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
8734-FNWVH,31,1,0,1850.7,0.0,0.0,0.0,0.0,0.0,0.0,0
9447-YPTBX,50,0,2,992.5000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
0133-BMFZO,2,2,0,172.5,0.0,0.0,0.0,0.0,0.0,0.0,1
6128-CZOMY,1,1,0,45.65,0.0,0.0,0.0,0.0,0.0,0.0,1
9540-JYROE,8,2,0,560.8,0.0,0.0,0.0,0.0,0.0,0.0,1
9026-LHEVG,9,1,0,366.75,0.0,0.0,0.0,0.0,0.0,0.0,0
2260-USTRB,2,2,0,140.4,0.0,0.0,0.0,0.0,0.0,0.0,1
3656-TKRVZ,3,1,0,166.05,0.0,0.0,0.0,0.0,0.0,0.0,1
7011-CVEUC,25,2,0,2392.5,0.0,0.0,0.0,0.0,0.0,0.0,0
6185-TASNN,1,1,0,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0
7925-PNRGI,45,1,0,3658.5,0.0,0.0,0.0,0.0,0.0,0.0,0
8623-TMRBY,51,2,0,4294.2,0.0,0.0,0.0,0.0,0.0,0.0,1
1552-CZCLL,55,0,0,1100.0,1.0,1.0,1.0,1.0,1.0,1.0,0
3038-PQIUY,38,1,0,2513.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
1501-SGHBW,2,1,0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,1
9313-CDOGY,38,0,0,744.8000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
8148-BPLZQ,34,1,0,1693.1999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0
2623-DRYAM,70,2,2,7122.5,0.0,0.0,0.0,0.0,0.0,0.0,0
9987-LUTYD,13,1,2,716.9499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
3208-YPIOE,39,2,0,2934.75,0.0,0.0,0.0,0.0,0.0,0.0,1
4488-KQFDT,61,2,2,6340.95,0.0,0.0,0.0,0.0,0.0,0.0,0
2612-RANWT,12,2,0,1201.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1
5693-PIPCS,41,2,1,4085.65,0.0,0.0,0.0,0.0,0.0,0.0,0
0491-KAPQG,21,2,0,1547.7,0.0,0.0,0.0,0.0,0.0,0.0,0
1925-LFCZZ,55,1,2,2752.75,0.0,0.0,0.0,0.0,0.0,0.0,0
8039-EQPIM,69,1,1,4157.25,0.0,0.0,0.0,0.0,0.0,0.0,0
6900-PXRMS,26,2,0,2749.5,0.0,0.0,0.0,0.0,0.0,0.0,1
8707-RMEZH,69,2,2,6023.7,0.0,0.0,0.0,0.0,0.0,0.0,0
3346-BRMIS,18,1,0,870.3000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1
3209-ZPKFI,47,1,0,2549.75,0.0,0.0,0.0,0.0,0.0,0.0,0
6479-VDGRK,72,1,1,6141.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
9373-WSLOY,33,1,0,1650.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2933-FILNV,2,1,0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,1
3569-JFODW,72,1,1,6548.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
9819-FBNSV,37,2,0,2673.25,0.0,0.0,0.0,0.0,0.0,0.0,0
9544-PYPSJ,62,2,0,5958.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1591-XWLGB,71,0,1,1409.3500000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
0396-UKGAI,23,1,0,1271.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
3243-ZHOHY,16,0,2,321.6,1.0,1.0,1.0,1.0,1.0,1.0,0
5186-EJEGL,9,1,0,625.5,0.0,0.0,0.0,0.0,0.0,0.0,0
7527-QNRUS,17,0,1,427.54999999999995,1.0,1.0,1.0,1.0,1.0,1.0,0
9986-BONCE,4,0,0,83.8,1.0,1.0,1.0,1.0,1.0,1.0,1
2722-JMONI,1,1,0,49.55,0.0,0.0,0.0,0.0,0.0,0.0,1
2203-GHNWN,24,2,0,1911.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
3878-AVSOQ,1,2,0,71.25,0.0,0.0,0.0,0.0,0.0,0.0,0
3258-SYSWS,72,2,1,8193.6,0.0,0.0,0.0,0.0,0.0,0.0,0
5296-PSYVW,72,0,1,1767.6000000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
6319-QSUSR,11,0,0,216.7,1.0,1.0,1.0,1.0,1.0,1.0,0
4083-EUGRJ,9,0,0,182.25,1.0,1.0,1.0,1.0,1.0,1.0,1
7579-OOPEC,2,1,0,100.3,0.0,0.0,0.0,0.0,0.0,0.0,1
0512-FLFDW,60,2,2,6030.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1771-OADNZ,29,2,0,2781.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1
0487-CRLZF,49,1,1,3648.05,0.0,0.0,0.0,0.0,0.0,0.0,0
2107-FBPTK,30,2,0,3123.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9451-WLYRI,53,0,2,1009.6500000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
8219-VYBVI,39,0,1,975.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1991-VOPLL,9,0,0,171.45000000000002,1.0,1.0,1.0,1.0,1.0,1.0,0
9738-QLWTP,39,2,2,3194.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0
1016-DJTSV,8,2,0,557.6,0.0,0.0,0.0,0.0,0.0,0.0,0
9419-IPPBE,51,2,2,4597.650000000001,0.0,0.0,0.0,0.0,0.0,0.0,0
0174-QRVVY,71,0,1,1799.8500000000001,1.0,1.0,1.0,1.0,1.0,1.0,0
5699-BNCAS,71,0,1,1750.1499999999999,1.0,1.0,1.0,1.0,1.0,1.0,0
2900-PHPLN,70,0,1,1368.5,1.0,1.0,1.0,1.0,1.0,1.0,0
0612-RTZZA,1,1,0,25.25,0.0,0.0,0.0,0.0,0.0,0.0,1
8106-GWQOK,38,1,1,2280.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8751-EDEKA,28,2,0,2517.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0
6878-GGDWG,32,0,0,620.8,1.0,1.0,1.0,1.0,1.0,1.0,0
4039-PIMHX,49,1,1,2440.2,0.0,0.0,0.0,0.0,0.0,0.0,0
8450-LUGUK,37,0,1,891.7,1.0,1.0,1.0,1.0,1.0,1.0,0
3604-WLABM,10,1,0,542.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0795-GMVQO,67,2,2,7363.3,0.0,0.0,0.0,0.0,0.0,0.0,0
2259-OUUSZ,7,1,2,248.5,0.0,0.0,0.0,0.0,0.0,0.0,0
1142-IHLOO,51,2,2,4465.05,0.0,0.0,0.0,0.0,0.0,0.0,0
6410-LEFEN,9,1,0,406.34999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1
4633-MKHYU,9,2,0,795.6,0.0,0.0,0.0,0.0,0.0,0.0,0
6257-RJOHI,4,1,0,203.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1545-JFUML,71,2,1,7029.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3194-ORPIK,50,2,0,4220.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7826-VVKWT,24,2,1,2317.2,0.0,0.0,0.0,0.0,0.0,0.0,0
1353-GHZOS,22,1,2,1314.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2587-EKXTS,44,2,0,4906.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5442-BXVND,33,0,0,800.25,1.0,1.0,1.0,1.0,1.0,1.0,0
8816-VXNZD,1,2,0,75.1,0.0,0.0,0.0,0.0,0.0,0.0,1
9378-FXTIZ,54,1,2,3788.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1
1723-HKXJQ,42,2,0,4273.5,0.0,0.0,0.0,0.0,0.0,0.0,1
7825-GKXMW,1,1,0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,1
9753-OYLBX,1,0,0,20.5,1.0,1.0,1.0,1.0,1.0,1.0,0
2364-UFROM,30,1,2,2112.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6656-JWRQX,1,1,0,30.55,0.0,0.0,0.0,0.0,0.0,0.0,0
6473-ULUHT,16,1,0,1358.4,0.0,0.0,0.0,0.0,0.0,0.0,0
1240-KNSEZ,1,0,0,20.1,1.0,1.0,1.0,1.0,1.0,1.0,1
0836-SEYLU,9,1,0,365.84999999999997,0.0,0.0,0.0,0.0,0.0,0.0,1
4433-JCGCG,46,2,0,4646.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3716-BDVDB,1,2,0,69.1,0.0,0.0,0.0,0.0,0.0,0.0,1
7688-AWMDX,71,1,1,3869.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2842-BCQGE,43,2,0,3240.0499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
7244-QWYHG,50,1,2,2222.5,0.0,0.0,0.0,0.0,0.0,0.0,0
5899-MQZZL,13,2,0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6849-OYAMU,19,2,2,1900.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5312-UXESG,41,2,0,4020.0499999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
9488-HGMJH,1,2,0,71.15,0.0,0.0,0.0,0.0,0.0,0.0,1
6038-GCYEC,24,1,0,1299.6,0.0,0.0,0.0,0.0,0.0,0.0,1
2150-WLKUW,40,1,2,2556.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7159-FVYPK,3,1,0,207.45000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0
7032-LMBHI,37,1,2,2392.05,0.0,0.0,0.0,0.0,0.0,0.0,0
1150-WFARN,67,2,1,7286.25,0.0,0.0,0.0,0.0,0.0,0.0,1
6088-BXMRG,32,2,0,3163.2,0.0,0.0,0.0,0.0,0.0,0.0,0
3144-AUDBS,6,1,0,294.9,0.0,0.0,0.0,0.0,0.0,0.0,1
4821-SJHJV,32,2,0,2867.2,0.0,0.0,0.0,0.0,0.0,0.0,0
7346-MEDWM,59,2,0,4911.75,0.0,0.0,0.0,0.0,0.0,0.0,0
1137-DGOWI,30,1,2,2107.5,0.0,0.0,0.0,0.0,0.0,0.0,0
5616-PRTNT,20,0,0,388.0,1.0,1.0,1.0,1.0,1.0,1.0,1
3812-LRZIR,27,0,1,661.5,1.0,1.0,1.0,1.0,1.0,1.0,0
4818-QIUFN,20,2,0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9483-GCPWE,9,0,2,180.9,1.0,1.0,1.0,1.0,1.0,1.0,0
4227-OJHAL,68,1,2,4964.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9220-CXRSC,69,1,1,4236.599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0
4993-JCRGJ,26,2,0,2191.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0
9537-JALFH,69,0,1,1373.1,1.0,1.0,1.0,1.0,1.0,1.0,0
6698-OXETB,11,0,1,224.39999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0
2103-ZRXFN,1,1,0,50.75,0.0,0.0,0.0,0.0,0.0,0.0,0
3724-BSCVH,10,0,2,204.5,1.0,1.0,1.0,1.0,1.0,1.0,0
4877-TSOFF,55,1,2,4166.25,0.0,0.0,0.0,0.0,0.0,0.0,0
